experiment_id,hidden_sizes,learning_rate,batch_size,activation,init_scale,num_layers,total_neurons,avg_neurons,final_train_loss,final_val_loss,final_train_acc,final_val_acc,overfitting_gap
1,"[7, 7]",0.01,4,relu,0.05,2,14,7.0,0.111630072425216,0.11265403632813276,0.975609756097561,0.975609756097561,0.0
2,"[7, 7]",0.01,4,relu,0.1,2,14,7.0,0.10845601430570767,0.10939124923736211,0.975609756097561,0.975609756097561,0.0
3,"[7, 7]",0.01,4,relu,0.5,2,14,7.0,0.1243948308528665,0.11747455915187546,0.973170731707317,0.975609756097561,-0.0024390243902439046
4,"[7, 7]",0.01,4,sigmoid,0.05,2,14,7.0,0.6933284446146406,0.6933286008754584,0.5,0.5,0.0
5,"[7, 7]",0.01,4,sigmoid,0.1,2,14,7.0,0.6933117516856389,0.6933203751328819,0.5,0.5,0.0
6,"[7, 7]",0.01,4,sigmoid,0.5,2,14,7.0,0.6648399059079457,0.6718414028919633,0.6317073170731707,0.6097560975609756,0.02195121951219514
7,"[7, 7]",0.01,8,relu,0.05,2,14,7.0,0.30140620216912395,0.2879688821153473,0.948780487804878,0.9390243902439024,0.009756097560975618
8,"[7, 7]",0.01,8,relu,0.1,2,14,7.0,0.12271140988316469,0.12518350431600375,0.975609756097561,0.975609756097561,0.0
9,"[7, 7]",0.01,8,relu,0.5,2,14,7.0,0.11348665283883853,0.10955960466664912,0.975609756097561,0.975609756097561,0.0
10,"[7, 7]",0.01,8,sigmoid,0.05,2,14,7.0,0.6931475039731174,0.6931474435937666,0.5,0.5,0.0
11,"[7, 7]",0.01,8,sigmoid,0.1,2,14,7.0,0.6931467101753208,0.6931498548800759,0.6853658536585366,0.6585365853658537,0.02682926829268295
12,"[7, 7]",0.01,8,sigmoid,0.5,2,14,7.0,0.6891282551734484,0.6916489704255865,0.524390243902439,0.524390243902439,0.0
13,"[7, 7]",0.01,16,relu,0.05,2,14,7.0,0.6921560131914647,0.6922139955526952,0.7024390243902439,0.6707317073170732,0.03170731707317065
14,"[7, 7]",0.01,16,relu,0.1,2,14,7.0,0.4304507360713671,0.42650940616899496,0.875609756097561,0.9512195121951219,-0.07560975609756093
15,"[7, 7]",0.01,16,relu,0.5,2,14,7.0,0.12451246568520456,0.12194478811613005,0.975609756097561,0.975609756097561,0.0
16,"[7, 7]",0.01,16,sigmoid,0.05,2,14,7.0,0.6931479310028372,0.6931476483366371,0.5,0.5,0.0
17,"[7, 7]",0.01,16,sigmoid,0.1,2,14,7.0,0.6931495461386735,0.6931497627560628,0.5,0.5,0.0
18,"[7, 7]",0.01,16,sigmoid,0.5,2,14,7.0,0.6914663483372917,0.6933081265495014,0.5146341463414634,0.5121951219512195,0.0024390243902439046
19,"[7, 7]",0.05,4,relu,0.05,2,14,7.0,0.09823476687158972,0.09859610262580705,0.975609756097561,0.975609756097561,0.0
20,"[7, 7]",0.05,4,relu,0.1,2,14,7.0,0.09325538483076375,0.10781909896434203,0.975609756097561,0.975609756097561,0.0
21,"[7, 7]",0.05,4,relu,0.5,2,14,7.0,0.09582905397938819,0.10326788402854978,0.975609756097561,0.975609756097561,0.0
22,"[7, 7]",0.05,4,sigmoid,0.05,2,14,7.0,0.694094807249654,0.6941008092675833,0.5,0.5,0.0
23,"[7, 7]",0.05,4,sigmoid,0.1,2,14,7.0,0.6940699482167505,0.6941334144183993,0.5,0.5,0.0
24,"[7, 7]",0.05,4,sigmoid,0.5,2,14,7.0,0.13191756382204992,0.1366440820643996,0.973170731707317,0.975609756097561,-0.0024390243902439046
25,"[7, 7]",0.05,8,relu,0.05,2,14,7.0,0.10063443647349943,0.1019993725070602,0.975609756097561,0.975609756097561,0.0
26,"[7, 7]",0.05,8,relu,0.1,2,14,7.0,0.09861827832837733,0.10330653808792449,0.975609756097561,0.975609756097561,0.0
27,"[7, 7]",0.05,8,relu,0.5,2,14,7.0,0.09812974781290358,0.10220912252034624,0.975609756097561,0.975609756097561,0.0
28,"[7, 7]",0.05,8,sigmoid,0.05,2,14,7.0,0.6932013493706699,0.6932035933854203,0.5,0.5,0.0
29,"[7, 7]",0.05,8,sigmoid,0.1,2,14,7.0,0.6931837566449711,0.6932122051655288,0.5,0.5,0.0
30,"[7, 7]",0.05,8,sigmoid,0.5,2,14,7.0,0.20167684418118245,0.23269083895818987,0.9365853658536586,0.926829268292683,0.009756097560975618
31,"[7, 7]",0.05,16,relu,0.05,2,14,7.0,0.10840340375137833,0.10882918663644678,0.975609756097561,0.975609756097561,0.0
32,"[7, 7]",0.05,16,relu,0.1,2,14,7.0,0.10603137899168286,0.1066202905999772,0.975609756097561,0.975609756097561,0.0
33,"[7, 7]",0.05,16,relu,0.5,2,14,7.0,0.10435011589056235,0.10523911890680042,0.975609756097561,0.975609756097561,0.0
34,"[7, 7]",0.05,16,sigmoid,0.05,2,14,7.0,0.693742596580173,0.6937427224784128,0.5,0.5,0.0
35,"[7, 7]",0.05,16,sigmoid,0.1,2,14,7.0,0.6937053185654463,0.693716523809692,0.5,0.5,0.0
36,"[7, 7]",0.05,16,sigmoid,0.5,2,14,7.0,0.5762041049878275,0.5928440781400881,0.8292682926829268,0.8170731707317073,0.012195121951219523
37,"[7, 7]",0.1,4,relu,0.05,2,14,7.0,0.09771104503939457,0.0984748666824968,0.975609756097561,0.975609756097561,0.0
38,"[7, 7]",0.1,4,relu,0.1,2,14,7.0,0.08812047895568463,0.12136059915358947,0.975609756097561,0.975609756097561,0.0
39,"[7, 7]",0.1,4,relu,0.5,2,14,7.0,0.11245368632555185,0.10060974327922659,0.973170731707317,0.975609756097561,-0.0024390243902439046
40,"[7, 7]",0.1,4,sigmoid,0.05,2,14,7.0,0.6937653524474556,0.6938577929295853,0.5,0.5,0.0
41,"[7, 7]",0.1,4,sigmoid,0.1,2,14,7.0,0.6936508265735989,0.6939265303092553,0.5,0.5,0.0
42,"[7, 7]",0.1,4,sigmoid,0.5,2,14,7.0,0.12280928241077407,0.13060311088683785,0.975609756097561,0.975609756097561,0.0
43,"[7, 7]",0.1,8,relu,0.05,2,14,7.0,0.09822764585963933,0.0985433532770987,0.975609756097561,0.975609756097561,0.0
44,"[7, 7]",0.1,8,relu,0.1,2,14,7.0,0.0907018534398361,0.10378799292547325,0.975609756097561,0.975609756097561,0.0
45,"[7, 7]",0.1,8,relu,0.5,2,14,7.0,0.09573911417966716,0.10309882495766691,0.975609756097561,0.975609756097561,0.0
